hash	dist	omega	phi1	phi2	psi1	psi2	ids	idcount	id_unique
4406636446212	4	2	0	0	2	4	2:2,0:2,1:1	5	3
7696598171908	7	0	1	0	1	4	1:2,3:1	3	2
7696614949376	7	0	2	0	2	0	1:2,3:1	3	2
9895638204676	9	0	2	0	1	4	1:4	4	1
6605693387011	6	2	2	2	1	3	2:1,3:1,1:2	4	3
10995149964288	10	0	2	2	4	0	2:1	1	1
7705188106753	7	2	1	0	2	1	2:1,3:1	2	2
7705205014788	7	2	2	2	1	4	1:1	1	1
8800387989765	8	1	0	0	1	5	2:1	1	1
7705188172035	7	2	1	1	1	3	1:1,2:1	2	2
8796126707970	8	0	2	2	1	2	3:1,2:1,1:1	3	3
5501853106690	5	1	0	0	2	2	1:2,3:2	4	2
8804699734019	8	2	1	0	0	3	0:1,1:1	2	2
5497591825410	5	0	2	2	4	2	0:1,2:1	2	2
3298534884355	3	0	0	0	4	3	0:1,1:2,2:2	5	3
5497591694338	5	0	2	0	4	2	2:4,0:1,1:3	8	3
4398080196868	4	0	2	2	1	4	2:1	1	1
9904194715907	9	2	0	2	1	3	3:1	1	1
7700893270789	7	1	1	2	3	5	1:1	1	1
3298535015173	3	0	0	2	3	5	2:1	1	1
9899899618050	9	1	0	0	3	2	2:1,3:2	3	2
4406653223427	4	2	1	0	2	3	1:1,0:3	4	2
3302846628355	3	1	1	0	2	3	2:2	2	1
4406670131713	4	2	2	2	2	1	2:1	1	1
5506164982274	5	2	1	2	2	2	2:1	1	1
9904194650883	9	2	0	1	3	3	2:1	1	1
7700893270787	7	1	1	2	3	3	0:1	1	1
8800404898308	8	1	1	2	2	4	2:1	1	1
11003706212610	10	2	0	0	1	2	2:3,3:2	5	2
8796109800705	8	0	1	0	5	1	0:1,1:1	2	2
8796126707972	8	0	2	2	1	4	0:1,3:2	3	2
9895604781057	9	0	0	2	0	1	1:1,0:1,3:1,2:1	4	4
5497574981891	5	0	1	1	1	3	3:1	1	1
7696598172421	7	0	1	0	3	5	0:1,2:1	2	2
10995116409345	10	0	0	2	2	1	2:3	3	1
9904211361795	9	2	1	0	0	3	2:1,1:1	2	2
7705204883714	7	2	2	0	1	2	0:2,2:1,3:1	4	3
6597069767172	6	0	0	0	2	4	3:3,1:5,0:5,2:11	24	4
